ID,name,address,contactPerson_ID,locationtype_code,createdAt,createdBy,modifiedAt,modifiedBy
A1B2C3D4-1234-5678-9101-112131415161,Warehouse B,123 Industrial Park,C4F1F705-3D56-4981-4D10-29F89688747A,WARE,2024-01-01T09:00:00Z,admin,2024-01-01T09:00:00Z,admin
B2C3D4E5-2345-6789-1011-121314151617,Studio A,1 Film Studio Lane,A2D6352A-8CEB-85DE-408C-08F7F0C5235F,STUD,2024-01-01T09:00:00Z,admin,2024-01-01T09:00:00Z,admin
C3D4E5F6-3456-7891-0111-213141516172,Repair Lab,45 Tech Park,C4F1F705-3D56-4981-4D10-29F89688747B,REPL,2024-01-01T09:00:00Z,admin,2024-01-01T09:00:00Z,admin
D4E5F6G7-4567-8910-1112-131415161718,Storage Unit,Building 7,C4F1F705-3D56-4981-4D10-29F89688747A,STOR,2024-01-01T09:00:00Z,admin,2024-01-01T09:00:00Z,admin
E5F6G7H8-5678-9101-1121-314151617182,Warehouse A,456 Logistics Blvd,C4F1F705-3D56-4981-4D10-29F89688747A,WARE,2024-01-01T09:00:00Z,admin,2024-01-01T09:00:00Z,admin
F6G7H8I9-6789-1011-1213-141516171819,Stage 3,Studio A Backlot,3D3380A5-8075-CC6E-4985-694D375FE8E7,AVAILABLE,2024-01-01T09:00:00Z,admin,2024-01-01T09:00:00Z,admin
G7H8I9J0-7891-0111-2131-415161718192,Studio B,2 Film Studio Lane,A2D6352A-8CEB-85DE-408C-08F7F0C5235F,STUD,2024-01-01T09:00:00Z,admin,2024-01-01T09:00:00Z,admin
H8I9J0K1-8910-1112-1314-151617181920,Wardrobe A,Studio B Annex,72C813F3-6BCB-67B3-49E4-3A8032DC01EC,WRDB,2024-01-01T09:00:00Z,admin,2024-01-01T09:00:00Z,admin
I9J0K1L2-9101-1121-3141-516171819202,Dressing Room,Studio B Annex,14BA149F-71C9-9B69-48BC-C648EC8550AE,DRRM,2024-01-01T09:00:00Z,admin,2024-01-01T09:00:00Z,admin
J0K1L2M3-1011-1213-1415-161718192021,Warehouse C,789 Storage Row,C4F1F705-3D56-4981-4D10-29F89688747A,WARE,2024-01-01T09:00:00Z,admin,2024-01-01T09:00:00Z,admin
K1L2M3N4-1112-1314-1516-171819202122,Main Stage,Central Studio Lot,3D3380A5-8075-CC6E-4985-694D375FE8E7,STUD,2024-01-01T09:00:00Z,admin,2024-01-01T09:00:00Z,admin
L2M3N4O5-1213-1415-1617-181920212223,Control Room,Main Stage Building,718E92E3-E542-EC49-458A-5CBDE224CCA5,CTRL,2024-01-01T09:00:00Z,admin,2024-01-01T09:00:00Z,admin
M3N4O5P6-1314-1516-1718-192021222324,Stage 2,Studio A Backlot,3D3380A5-8075-CC6E-4985-694D375FE8E7,STUD,2024-01-01T09:00:00Z,admin,2024-01-01T09:00:00Z,admin
N4O5P6Q7-1415-1617-1819-202122232425,Vehicle Depot,100 Garage Lane,C4F1F705-3D56-4981-4D10-29F89688747B,VEHD,2024-01-01T09:00:00Z,admin,2024-01-01T09:00:00Z,admin
O5P6Q7R8-1516-1718-1920-212223242526,On Location,External Shoot,A2D6352A-8CEB-85DE-408C-08F7F0C5235F,BOOKED,2024-01-01T09:00:00Z,admin,2024-01-01T09:00:00Z,admin
P6Q7R8S9-1617-1819-2021-222324252627,Motor Pool,101 Garage Lane,C4F1F705-3D56-4981-4D10-29F89688747B,VEHD,2024-01-01T09:00:00Z,admin,2024-01-01T09:00:00Z,admin
Q7R8S9T0-1718-1920-2121-222324252728,Storage Yard,Building 8,C4F1F705-3D56-4981-4D10-29F89688747A,STOR,2024-01-01T09:00:00Z,admin,2024-01-01T09:00:00Z,admin
R8S9T0U1-1819-2021-2222-232425262829,Studio C,3 Film Studio Lane,A2D6352A-8CEB-85DE-408C-08F7F0C5235F,STUD,2024-01-01T09:00:00Z,admin,2024-01-01T09:00:00Z,admin